Show Title,Show Date,Show Image Link,Theatre Name/Venue,Performance,Show Type,Link to Full Show Details,Scraping Date
Ride and Dine with Us!,May 14,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 14,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384518?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 15,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 15,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384288?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 16,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 16,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384348?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 17,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 17,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384508?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 18,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 18,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384328?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 19,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 19,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384308?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 20,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 20,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384558?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 21,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 21,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384358?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 22,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 22,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384398?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 23,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 23,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384628?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 24,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 24,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384538?REFERRAL_ID=tmfeed,2025-05-25
